lv,1.0,opt,1.0,opt
h2,H2 grid,H2 grid,no H2 grid,no H2 grid
BEV charger,2394.0309816435974,2394.0309816435974,2394.0309816435974,2394.0309816435974
SMR,0.004814016578489835,0.003377708526143162,1.8976130318561715,32.2668550785074
SMR CC,0.0043382722277044775,0.0034587810079552885,90.59583158850359,55.44689680386482
V2G,2394.0309816435974,2394.0309816435974,2394.0309816435974,2394.0309816435974
battery storage,342.5642128322213,113.3846972403271,415.0286965043304,141.3699827055114
biogas,39.447086425441775,39.44707460043169,39.447087230404485,39.44709007121037
electricity distribution grid,821.7200885993896,823.3149482972607,836.328723429786,824.5634162303
gas for industry,5.91138805903028e-05,0.0001115977488589123,3.48979324990068e-05,9.47712096822215e-05
gas for industry CC,33.59711794063092,33.597049593173374,33.597143436052725,33.59707896866484
gas-to-power/heat,856.3025730070109,693.2103765688717,843.2936280542878,669.0249141005908
hot water storage,915.7120023690563,642.005740649036,814.8247614964171,689.1080252309243
power-to-gas,1392.806524195663,1162.2227513522698,1635.3189887587912,1279.2101401586112
power-to-heat,521.8330349761579,555.222684403784,538.7790605315934,559.0532874435614
power-to-liquid,176.568493634626,167.97845741119335,186.51089007205948,151.40092724228145
solid biomass for industry,2.5633434139308497e-05,2.33821086440002e-05,1.7694675785605698e-05,3.57219420111505e-05
solid biomass for industry CC,89.09181888966867,89.09181478720951,89.0918262127228,89.09180789944601
